Params	Time Savings	BD-BR Inc	RDCCOst
AMP=0_BipredSearchRange=0_FME=1_QuadtreeTUMaxDepthInter=1_SearchRange=4_TestRect=1_refs=2	0.7710	0.1562	0.2026
AMP=0_BipredSearchRange=0_FME=1_QuadtreeTUMaxDepthInter=1_SearchRange=1_TestRect=1_refs=2	0.7780	0.1996	0.2566
AMP=0_BipredSearchRange=0_FME=1_QuadtreeTUMaxDepthInter=1_SearchRange=0_TestRect=1_refs=2	0.7728	0.3679	0.4761
AMP=0_BipredSearchRange=0_FME=1_QuadtreeTUMaxDepthInter=1_SearchRange=4_TestRect=1_refs=1	0.7956	0.1827	0.2296
AMP=0_BipredSearchRange=0_FME=1_QuadtreeTUMaxDepthInter=1_SearchRange=1_TestRect=1_refs=1	0.8023	0.2258	0.2815
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=0_TestRect=1_refs=1	0.7733	0.3162	0.4089
AMP=0_BipredSearchRange=0_FME=1_MaxPartitionDepth=2_QuadtreeTUMaxDepthInter=1_SearchRange=1_TestRect=0_refs=1	0.9041	1.1605	1.2837
AMP=0_BipredSearchRange=0_FME=1_MaxPartitionDepth=3_QuadtreeTUMaxDepthInter=1_SearchRange=0_TestRect=0_refs=1	0.8737	0.7183	0.8221
AMP=0_BipredSearchRange=0_FME=1_MaxPartitionDepth=3_QuadtreeTUMaxDepthInter=1_SearchRange=1_TestRect=0_refs=1	0.8741	0.5256	0.6013
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_MaxPartitionDepth=3_QuadtreeTUMaxDepthInter=1_RDOQ=0_SearchRange=1_TestRect=0_refs=1	0.9059	0.6469	0.7141
AMP=0_BipredSearchRange=0_FME=1_MaxPartitionDepth=3_QuadtreeTUMaxDepthInter=1_RDOQ=0_SearchRange=1_TestRect=0_refs=1	0.9022	0.6344	0.7031
AMP=0_BipredSearchRange=0_FME=1_HadamardME=0_MaxPartitionDepth=3_QuadtreeTUMaxDepthInter=1_SearchRange=1_TestRect=0_refs=1	0.8758	0.5413	0.6180
