Params	Time Savings	BD-BR Inc	RDCCOst
BipredSearchRange=2_QuadtreeTUMaxDepthInter=2	0.1461	0.0026	0.0180
BipredSearchRange=2_SearchRange=8	0.0892	0.0044	0.0493
BipredSearchRange=2_TestRect=3	0.1577	0.0092	0.0581
BipredSearchRange=2_SearchRange=8_TestRect=3	0.1922	0.0089	0.0461
SearchRange=8_TestRect=3	0.1537	0.0080	0.0520
QuadtreeTUMaxDepthInter=1_TestRect=3	0.2695	0.0164	0.0608
BipredSearchRange=0_TestRect=3	0.1747	0.0100	0.0572
TestRect=3_refs=3	0.2473	0.0179	0.0722
BipredSearchRange=0_SearchRange=8_TestRect=3	0.2096	0.0130	0.0622
SearchRange=8_TestRect=2	0.2499	0.0121	0.0482
BipredSearchRange=2_SearchRange=8_TestRect=2	0.2854	0.0160	0.0560
QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=3	0.3021	0.0182	0.0603
BipredSearchRange=0_TestRect=2	0.2713	0.0163	0.0600
BipredSearchRange=0_SearchRange=8_TestRect=2	0.3009	0.0190	0.0632
BipredSearchRange=2_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=3	0.3408	0.0210	0.0616
BipredSearchRange=2_QuadtreeTUMaxDepthInter=1_TestRect=3	0.3089	0.0180	0.0584
BipredSearchRange=2_TestRect=3_refs=3	0.2747	0.0215	0.0783
BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_TestRect=2	0.4127	0.0319	0.0772
BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=3	0.3578	0.0239	0.0667
BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_TestRect=3	0.3255	0.0202	0.0620
BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=2	0.4428	0.0344	0.0777
QuadtreeTUMaxDepthInter=1_TestRect=3_refs=3	0.3964	0.0285	0.0719
BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=3_refs=3	0.4571	0.0355	0.0777
BipredSearchRange=0_SearchRange=8_TestRect=3_refs=3	0.3010	0.0253	0.0842
BipredSearchRange=2_QuadtreeTUMaxDepthInter=1_TestRect=3_refs=3	0.4254	0.0325	0.0763
BipredSearchRange=0_QuadtreeTUMaxDepthInter=1	0.2298	0.0125	0.0544
BipredSearchRange=2_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=2	0.4287	0.0304	0.0709
QuadtreeTUMaxDepthInter=1_refs=3	0.3165	0.0246	0.0778
QuadtreeTUMaxDepthInter=1_refs=2	0.4647	0.0322	0.0692
BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=2_refs=2	0.6104	0.0619	0.1014
BipredSearchRange=2_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=3_refs=3	0.4446	0.0326	0.0733
BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=2_refs=3	0.5256	0.0488	0.0929
BipredSearchRange=2_SearchRange=8_TestRect=3_refs=3	0.2924	0.0228	0.0780
BipredSearchRange=0_SearchRange=8_TestRect=2_refs=3	0.3814	0.0317	0.0832
BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=3_refs=2	0.5596	0.0490	0.0876
AMP=0_QuadtreeTUMaxDepthInter=1	0.2580	0.0159	0.0615
AMP=0_QuadtreeTUMaxDepthInter=1_TestRect=3	0.3623	0.0290	0.0799
AMP=0_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=3	0.3901	0.0304	0.0780
AMP=0_BipredSearchRange=2_QuadtreeTUMaxDepthInter=1_TestRect=3	0.3951	0.0288	0.0728
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_TestRect=2	0.5019	0.0461	0.0919
AMP=0_BipredSearchRange=2_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=3	0.4234	0.0312	0.0738
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_TestRect=3	0.4099	0.0316	0.0772
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=3	0.4380	0.0326	0.0744
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=2	0.5258	0.0489	0.0929
AMP=0_BipredSearchRange=2_QuadtreeTUMaxDepthInter=1_TestRect=3_refs=3	0.4977	0.0427	0.0858
AMP=0_BipredSearchRange=2_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=3_refs=3	0.5140	0.0449	0.0874
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=3_refs=3	0.5250	0.0469	0.0894
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_TestRect=3_refs=3	0.5090	0.0460	0.0903
BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_TestRect=2_refs=3	0.5109	0.0459	0.0899
AMP=0_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=3_refs=3	0.4889	0.0442	0.0905
AMP=0_QuadtreeTUMaxDepthInter=1_TestRect=3_refs=3	0.4731	0.0416	0.0879
BipredSearchRange=0_TestRect=3_refs=3	0.2875	0.0237	0.0826
BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_TestRect=3_refs=3	0.4387	0.0310	0.0707
BipredSearchRange=2_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=2_refs=3	0.5144	0.0446	0.0868
BipredSearchRange=0_refs=3	0.2058	0.0154	0.0749
BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_refs=3	0.3649	0.0242	0.0663
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_refs=3	0.4340	0.0333	0.0767
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_TestRect=2_refs=3	0.5828	0.0615	0.1055
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=2_refs=3	0.5952	0.0631	0.1061
BipredSearchRange=0_refs=2	0.3355	0.0284	0.0845
BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_refs=2	0.4987	0.0365	0.0733
BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_TestRect=3_refs=2	0.5530	0.0455	0.0823
BipredSearchRange=0_TestRect=3_refs=2	0.3957	0.0342	0.0864
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_TestRect=3_refs=2	0.6087	0.0583	0.0958
AMP=0_BipredSearchRange=0	0.1813	0.0134	0.0738
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1	0.3143	0.0211	0.0672
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_refs=2	0.5513	0.0459	0.0832
AMP=0_BipredSearchRange=0_TestRect=3_refs=3	0.3869	0.0340	0.0879
AMP=0_BipredSearchRange=0_refs=3	0.2998	0.0281	0.0939
BipredSearchRange=0_SearchRange=4	0.1147	0.0087	0.0756
BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=4	0.2725	0.0178	0.0653
BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=4_TestRect=3	0.3607	0.0269	0.0746
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=4	0.3499	0.0267	0.0764
BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=4_TestRect=2	0.4464	0.0373	0.0835
BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=4_refs=3	0.3877	0.0335	0.0864
BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=4_TestRect=3_refs=3	0.4591	0.0398	0.0867
BipredSearchRange=0_SearchRange=4_TestRect=3_refs=3	0.3088	0.0276	0.0894
AMP=0_BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=4_TestRect=3_refs=3	0.5272	0.0521	0.0988
BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=4_TestRect=2_refs=3	0.5277	0.0553	0.1047
